"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @bibiIoops: only bibi can torture men and *accidentally* curse on national television #MAMA2022 https://t.co/8o8RmeV60B",FALSE,0,NA,2022-12-04 20:39:21,FALSE,NA,"1599503648488558593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jinwoonld",3705,TRUE,FALSE,NA,NA
"RT @amireallyhimfr: gender equality and bro doesn’t give 2 fucks😤🐐 
follow tik tok / ireallyamhimfr (help a dawg out🤝🏽) 
#fighting #school…",FALSE,0,NA,2022-12-04 20:30:16,FALSE,NA,"1599501359367487488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2RawBro11",7,TRUE,FALSE,NA,NA
"RT @Acirene993: CHAN CAREFULLY HOLD HYUN'S FOOT AND MAKE SURE HYUN DOESNT GET HURT! BEST LEADER AND BEST HUBBY! #캥황 #chanjin #hyunchan #ban…",FALSE,0,NA,2022-12-04 20:19:38,FALSE,NA,"1599498684345249792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bch3rachaa",77,TRUE,FALSE,NA,NA
"RT @springflowerjay: JAY vibing to J-HOPE performing Arson was featured on a clip posted by MAMA on TikTok. 

#ENHYPEN_JAY #JHOPE #MAMA2022…",FALSE,0,NA,2022-12-04 20:10:00,FALSE,NA,"1599496261865873409",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BtsKeeps",181,TRUE,FALSE,NA,NA
"RT @yari74: Their addresses on blast 🤞🎯💯 #ShaquellaRobinson #JusticeMatters #guilty #SpotifyWrapped #ForDanmark #MAMA2022 #WorldCup https:/…",FALSE,0,NA,2022-12-04 20:09:19,FALSE,NA,"1599496088133595136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hcm0919",6,TRUE,FALSE,NA,NA
"RT @SsRhalz: I don get problem with one of my imaginary partner 😭💔 again 
#SpotifyWrapped #Indigo #MAMA2022 #PARADIGM #Musica #music #Afro…",FALSE,0,NA,2022-12-04 20:04:06,FALSE,NA,"1599494776252141568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mickedony",1,TRUE,FALSE,NA,NA
"RT @SsRhalz: More wins is the only thing I wish for myself
#MAMA2022 #TREASURE #FIFAWorldCupQatar2022 #supermariobrosmovie #chainsawman #Mu…",FALSE,0,NA,2022-12-04 20:03:33,FALSE,NA,"1599494636820578304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mickedony",1,TRUE,FALSE,NA,NA
"WINNERS MAMA AWARDS 2022 (DAY 2)(GIRL GROUPS) #shorts #kpop #mama2022 #mama #mnet #ive #blackpink https://t.co/8k6tWNjM8X",FALSE,0,NA,2022-12-04 20:01:06,FALSE,NA,"1599494022229286913",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","thekdigest",0,FALSE,FALSE,NA,NA
"RT @bibiIoops: only bibi can torture men and *accidentally* curse on national television #MAMA2022 https://t.co/8o8RmeV60B",FALSE,0,NA,2022-12-04 20:00:51,FALSE,NA,"1599493959017193472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moonlightbaekp1",3705,TRUE,FALSE,NA,NA
"RT @xdebbsxx_rkive: HOSEOK WALLPAPERS HD

#BTS #JHOPE #HOSEOK #MAMA2022  #jhopexMAMA #BTSWALLPAPERS #btslockscreen 
- I hope you enjoy it,…",FALSE,0,NA,2022-12-04 19:52:42,FALSE,NA,"1599491907809251328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xdebbsxx_rkive",9,TRUE,FALSE,NA,NA
"RT @official_jo1: [#金城碧海]
🤟🏻👅MAMA🌍JAM !! 

　ILOVE   YOU!!    😈　💋

#MAMA2022
#JO1 #KINJOSUKAI #스카이 https://t.co/vBgRcgpKxT",FALSE,0,NA,2022-12-04 19:49:35,FALSE,NA,"1599491122812063744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lxcFfiU2ia4cCFH",9071,TRUE,FALSE,NA,NA
"WALK THE LINE+Future Perfect(Pass The MIC)+Blessed-Cursed
Practice video letchugo!~

#ENHYPEN #엔하이픈 #MAMA2022… https://t.co/pZCxCMQpaj",FALSE,0,"enhypen_mumbai",2022-12-04 19:48:26,TRUE,"1599490830032867328","1599490833472159745","1307205321203560448","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","enhypen_mumbai",0,FALSE,FALSE,NA,NA
"RT @ChaelisaNews: [NEWS] Congratulations @BLACKPINK for winning “Worldwide Fans' Choice” at the 2022 MAMA Awards. They’re the only female a…",FALSE,0,NA,2022-12-04 19:44:58,FALSE,NA,"1599489959727013888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adriana12117737",108,TRUE,FALSE,NA,NA
"RT @WORLDMUSICAWARD: Congratulations to #TWICE's beautiful #NAYEON on winning #BestFemaleArtist at the #2022MAMAAWARDS, the 1st JYP Ent. Ac…",FALSE,0,NA,2022-12-04 19:43:31,FALSE,NA,"1599489594529296384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DavidSa35681946",1637,TRUE,FALSE,NA,NA
